epoch,heating_loss,heating_val_loss,heating_mae,heating_val_mae,cooling_loss,cooling_val_loss,cooling_mae,cooling_val_mae
1,581.6106567382812,476.1205749511719,21.839599609375,19.942358016967773,654.1720581054688,563.5549926757812,23.754690170288086,22.11208152770996
2,520.8973388671875,389.73101806640625,20.382234573364258,17.656089782714844,540.6265869140625,398.8861999511719,21.324298858642578,18.231698989868164
3,369.4380798339844,182.26217651367188,16.274742126464844,10.811488151550293,312.35491943359375,127.69351959228516,15.245916366577148,9.034618377685547
4,131.16415405273438,34.42337417602539,8.358765602111816,3.879181385040283,87.18156433105469,44.60374450683594,7.025701999664307,4.65947961807251
5,48.12250518798828,27.828163146972656,4.874606132507324,3.4843578338623047,66.91761016845703,37.02973556518555,6.09343147277832,4.2850117683410645
6,42.04432678222656,22.722322463989258,4.793623924255371,3.1916441917419434,53.22439956665039,33.17890167236328,5.462945938110352,4.051279067993164
7,38.65608596801758,21.328989028930664,4.5787482261657715,3.199775218963623,47.22418212890625,33.69804000854492,5.127411842346191,4.112153053283691
8,42.34025192260742,19.53066062927246,4.664638519287109,3.0359861850738525,47.808494567871094,30.65399932861328,5.097029685974121,3.9473512172698975
9,40.02753829956055,19.741151809692383,4.636044502258301,3.2104227542877197,44.61952209472656,29.416507720947266,5.012989044189453,3.8212153911590576
10,35.02870559692383,17.761428833007812,4.299530506134033,3.002699613571167,38.46337890625,28.41330909729004,4.566767692565918,3.6837339401245117
11,33.69183349609375,17.11441421508789,4.318823337554932,2.924534320831299,40.136539459228516,27.29166030883789,4.651104927062988,3.617616891860962
12,32.57999801635742,16.61530303955078,4.192000865936279,2.9403884410858154,38.90290832519531,26.453807830810547,4.595156192779541,3.56128191947937
13,33.28515625,16.38833999633789,4.2804155349731445,2.8783681392669678,33.07524490356445,25.443323135375977,4.414453029632568,3.54691743850708
14,30.75240707397461,15.391409873962402,4.032717704772949,2.8430159091949463,37.302860260009766,24.231998443603516,4.6399006843566895,3.389716148376465
15,30.529586791992188,15.308272361755371,3.992363929748535,2.7485010623931885,35.90530776977539,22.389957427978516,4.493933200836182,3.3581461906433105
16,31.98672866821289,14.379484176635742,4.026446342468262,2.6418604850769043,37.687496185302734,21.83456802368164,4.5973801612854,3.3154330253601074
17,29.54585838317871,13.84713363647461,3.881706476211548,2.682609796524048,34.126956939697266,21.30156707763672,4.369924068450928,3.25700044631958
18,28.241579055786133,13.323267936706543,3.976928472518921,2.5737409591674805,31.958288192749023,21.111726760864258,4.257148265838623,3.2654786109924316
19,26.570486068725586,12.791205406188965,3.8354756832122803,2.5377304553985596,38.726131439208984,20.72568702697754,4.563333034515381,3.119535207748413
20,26.657875061035156,12.674779891967773,3.7969579696655273,2.52903151512146,35.312294006347656,20.93178939819336,4.459255695343018,3.1062228679656982
